# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
1,Don Quixote,Miguel de Cervantes,1605,Spanish,action,,"soldiers,poets spanish,novelists spanish,dramatists spanish,authors spanish",https://en.wikipedia.org/wiki/Don_Quixote,https://www.gutenberg.org/cache/epub/996/pg996.txt
2,Alice's Adventures in Wonderland,Lewis Carroll,1865,English,fantasy,"writing,teaching,photography,mathematics","authors,teachers,photographers,mathematicians",https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,https://www.gutenberg.org/cache/epub/11/pg11.txt
3,The Adventures of Huckleberry Finn,Mark Twain,1884,English,action,"wit and humor,literature,humor","lecturers,humorists,authors",https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,https://www.gutenberg.org/cache/epub/76/pg76.txt
4,The Adventures of Tom Sawyer,Mark Twain,1876,English,action,"wit and humor,literature,humor","lecturers,humorists,authors",https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer,https://www.gutenberg.org/cache/epub/74/pg74.txt
5,Treasure Island,Robert Louis Stevenson,1883,English,action,,"travel writers,poets,novelists",https://en.wikipedia.org/wiki/Treasure_Island,https://www.gutenberg.org/cache/epub/120/pg120.txt
6,Pride and Prejudice,Jane Austen,1813,English,romance,"fiction,novels","novelists,authors",https://en.wikipedia.org/wiki/Pride_and_Prejudice,https://www.gutenberg.org/cache/epub/1342/pg1342.txt
7,Wuthering Heights,Emily Brontë,1847,English,na,"novels,fiction","poets,novelists",https://en.wikipedia.org/wiki/Wuthering_Heights,https://www.gutenberg.org/cache/epub/768/pg768.txt
8,Jane Eyre,Charlotte Brontë,1847,English,romance,"poetry,novels","poets,novelists,governesses",https://en.wikipedia.org/wiki/Jane_Eyre,https://www.gutenberg.org/cache/epub/1260/pg1260.txt
9,Moby Dick,Herman Melville,1851,English,na,"short stories,sea fiction,poetry,novels","short story writer,customs inspector,teachers,sailors,poets,novelists,lecturers",https://en.wikipedia.org/wiki/Moby-Dick,https://www.gutenberg.org/cache/epub/2701/pg2701.txt
10,The Scarlet Letter,Nathaniel Hawthorne,1850,English,na,,"novelists,authors",https://en.wikipedia.org/wiki/The_Scarlet_Letter,https://www.gutenberg.org/cache/epub/25344/pg25344.txt
11,Gulliver's Travels,Jonathan Swift,1726,English,fantasy,"satirical literature,satire,poetry,fiction,essays","satirists,poets,essayists,authors",https://en.wikipedia.org/wiki/Gulliver%27s_Travels,https://www.gutenberg.org/cache/epub/829/pg829.txt
12,The Pilgrim's Progress,John Bunyan,1678,English,allegories,,"preacher,author",https://en.wikipedia.org/wiki/The_Pilgrim%27s_Progress,https://www.gutenberg.org/cache/epub/131/pg131.txt
13,A Christmas Carol,Charles Dickens,1843,English,na,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/A_Christmas_Carol,https://www.gutenberg.org/cache/epub/46/pg46.txt
14,David Copperfield,Charles Dickens,1850,English,bildung,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/David_Copperfield,https://www.gutenberg.org/cache/epub/766/pg766.txt
15,A Tale of Two Cities,Charles Dickens,1859,English,history,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities,https://www.gutenberg.org/cache/epub/98/pg98.txt
16,Little Women,Louisa May Alcott,1868,English,na,"short stories,poetry,novels,fiction","authors,poets,novelists",https://en.wikipedia.org/wiki/Little_Women,https://www.gutenberg.org/cache/epub/37106/pg37106.txt
17,Great Expectations,Charles Dickens,1861,English,bildung,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/Great_Expectations,https://www.gutenberg.org/cache/epub/1400/pg1400.txt
18,"The Hobbit, or, There and Back Again",J.R.R. Tolkien,1937,English,fantasy,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",https://en.wikipedia.org/wiki/The_Hobbit,NA_not-pub-domain
19,"Frankenstein, or, the Modern Prometheus",Mary Shelley,1818,English,horror,literature,"authors,writers",https://en.wikipedia.org/wiki/Frankenstein,https://www.gutenberg.org/cache/epub/84/pg84.txt
20,Oliver Twist,Charles Dickens,1838,English,bildung,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/Oliver_Twist,https://www.gutenberg.org/cache/epub/730/pg730.txt
21,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,English,political,"fiction,authorship,antislavery movements","authors,novelists,abolitionists",https://en.wikipedia.org/wiki/Uncle_Tom%27s_Cabin,https://www.gutenberg.org/cache/epub/203/pg203.txt
22,Crime and Punishment,Fyodor Dostoyevsky,1866,Russian,na,"short stories,philosophy,fiction,essays","philosophers,novelists,essayists,psychologists",https://en.wikipedia.org/wiki/Crime_and_Punishment,https://www.gutenberg.org/cache/epub/2554/pg2554.txt
23,Madame Bovary: Patterns of Provincial life,Gustave Flaubert,1857,French,na,,authors,https://en.wikipedia.org/wiki/Madame_Bovary,https://www.gutenberg.org/cache/epub/2413/pg2413.txt
24,The Return of the King,J.R.R. Tolkien,1955,English,fantasy,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",https://en.wikipedia.org/wiki/The_Return_of_the_King,NA_not-pub-domain
25,Dracula,Bram Stoker,1897,English,na,,"business manager,novelist",https://en.wikipedia.org/wiki/Dracula,https://www.gutenberg.org/cache/epub/345/pg345.txt
26,The Three Musketeers,Alexandre Dumas,1844,French,history,,"author,novelist,dramatist,novelists,dramatists,authors",https://en.wikipedia.org/wiki/The_Three_Musketeers,https://www.gutenberg.org/cache/epub/1257/pg1257.txt
27,Brave New World,Aldous Huxley,1932,English,na,,authors,https://en.wikipedia.org/wiki/Brave_New_World,NA_not-pub-domain
28,War and Peace,Leo Tolstoy,1869,Russian,history,"philosophy and religion,literature","authors,writers",https://en.wikipedia.org/wiki/War_and_Peace,https://www.gutenberg.org/cache/epub/2600/pg2600.txt
29,To Kill a Mockingbird,Harper Lee,1960,English,na,"novels,fiction",novelists,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,NA_not-pub-domain
30,The Wizard of Oz,L. Frank Baum,1900,English,fantasy,,,https://en.wikipedia.org/wiki/The_Wonderful_Wizard_of_Oz,https://www.gutenberg.org/cache/epub/55/pg55.txt
31,Les Misérables,Victor Hugo,1862,French,na,,authors french,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,https://www.gutenberg.org/cache/epub/135/pg135.txt
32,The Secret Garden,Frances Hodgson Burnett,1911,English,na,,"novelists,authors",https://en.wikipedia.org/wiki/The_Secret_Garden,https://www.gutenberg.org/cache/epub/17396/pg17396.txt
33,Animal Farm,George Orwell,1945,English,political,fiction,"novelists,authors",https://en.wikipedia.org/wiki/Animal_Farm,NA_not-pub-domain
34,The Great Gatsby,F. Scott Fitzgerald,1925,English,na,"fiction,short stories,novels","novelists,authors",https://en.wikipedia.org/wiki/The_Great_Gatsby,https://www.gutenberg.org/cache/epub/64317/pg64317.txt
35,The Little Prince,Antoine de Saint-Exupéry,1943,English,na,"fiction,essays,childrens literature,autobiography","novelists,essayists,air pilots",https://en.wikipedia.org/wiki/The_Little_Prince,NA_not-pub-domain
36,The Call of the Wild,Jack London,1903,English,action,,"novelists american,authors american",https://en.wikipedia.org/wiki/The_Call_of_the_Wild,https://www.gutenberg.org/cache/epub/215/pg215.txt
37,"20,000 Leagues Under the Sea",Jules Verne,1870,French,scifi,"drama,voyages imaginary,science fiction,poetry,novels,action and adventure fiction","poets,novelists,authors french,playwrights",https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas,https://www.gutenberg.org/cache/epub/164/pg164.txt
